journal,term,coefficient
kbs,knowledge,1.6625439792960544
kbs,samples,1.3605450075717156
kbs,semantic,1.354520280255092
kbs,experimental,1.3344109270276099
kbs,label,1.3297308860148354
kbs,learning,1.3163317471068718
kbs,bayesian,1.292337514754942
kbs,source,1.2658703761445516
kbs,extensive,1.2652015662772575
kbs,information,1.2574712310663494
kbs,trust,1.2357660491195948
kbs,existing,1.2162935548621174
kbs,attribute,1.19676103133759
kbs,rule,1.1854017754096051
kbs,extensive experiments,1.149037774601458
kbs,demonstrate,1.1231572218502248
kbs,multi label,1.0998157954277998
kbs,surrogate,1.0895945519454673
kbs,multiple,1.087021907450992
kbs,optimization,1.0767864729084864
kbs,utility,1.072730687383448
kbs,distribution,1.0706249983729226
kbs,multi,1.0014997433604442
kbs,experiments,1.0012712078292458
kbs,attention,0.993711497652357
kbs,labels,0.961528241287204
kbs,sensitive,0.9601206945498004
kbs,concept,0.9587401043794791
kbs,effectively,0.9373312069978764
kbs,protein,0.9364917048474545
eswa,expert,-3.1105720932780856
eswa,intelligent,-2.4406762629899252
eswa,systems,-1.8449891666374203
eswa,intelligent systems,-1.7652793102778168
eswa,market,-1.5881745208704814
eswa,work,-1.506585636822109
eswa,stock,-1.5063572682096678
eswa,credit,-1.485082042615358
eswa,using,-1.4847108777873026
eswa,expert systems,-1.4738845186847493
eswa,study,-1.4559140782818223
eswa,literature,-1.3909052919247953
eswa,expert intelligent,-1.370328848354022
eswa,time,-1.2889185867943826
eswa,video,-1.2501170860369946
eswa,applied,-1.2196068957282153
eswa,real time,-1.17808078998745
eswa,scheduling,-1.1698322130875372
eswa,heuristics,-1.1594603922425386
eswa,genetic,-1.1518676456207158
eswa,mobile,-1.0899278510087682
eswa,music,-1.0841315163971441
eswa,problems,-1.0440169197287337
eswa,signal,-1.0394366320599917
eswa,industry,-1.0098257772078392
eswa,problem,-0.9971697553046456
eswa,grey,-0.9928678192455335
eswa,customers,-0.9894193779403614
eswa,portfolio,-0.9849453541256404
eswa,svm,-0.9809479810277839
