journal_short_name,year,title,alignment_score,abstract,doi,url
kbs,2021,Leveraging bilingual-view parallel translation for code-switched emotion detection with adversarial dual-channel encoder,-0.1309520006179809,"Abstract Code-switched emotion detection, a task analyzing the emotion in code-switched texts, has gain increasing research attention within recent years. Prior works utilize various neural models with sophisticated features to pursuit high performance of the task, while they still overlook some crucial characteristics of the code-switched texts. In this work, we present an innovative approach for improving code-switched emotion detection. We first consider a bilingual-view parallel translation for code-switched text enhancement, i.e., translating the code-switched texts into two languages. Then we propose an adversarial dual-channel encoder architecture, where two private encoders take as inputs the parallel texts in two languages, respectively. The private encoders and the shared encoder work collaboratively, and effectively retrieve the features from monolingual and bilingual perspectives under adversarial training. We conduct extensive experiments on five code-switched benchmark datasets. Results show that our model outperforms the strongly-performing baselines that leverage external code-switched or bilingual word embedding with over 1.5% F1 score on the Chinese-English, Spanish-English and Hindi-English code-mixed data, becoming the new state-of-the-art system. Further analyses including ablation, qualitative and error studies, demonstrate the effectiveness of our proposed encoder for code-switched texts, as well as the bilingual-view parallel translation strategy.",10.1016/j.knosys.2021.107436,https://www.semanticscholar.org/paper/2d44ecfb63ac08cd78ade74a810fdede01761ce4
kbs,2019,adVAE: A self-adversarial variational autoencoder with Gaussian anomaly prior knowledge for anomaly detection,-0.1291041374206543,"Abstract Recently, deep generative models have become increasingly popular in unsupervised anomaly detection. However, deep generative models aim at recovering the data distribution rather than detecting anomalies. Moreover, deep generative models have the risk of overfitting training samples, which has disastrous effects on anomaly detection performance. To solve the above two problems, we propose a self-adversarial variational autoencoder (adVAE) with a Gaussian anomaly prior assumption. We assume that both the anomalous and the normal prior distribution are Gaussian and have overlaps in the latent space. Therefore, a Gaussian transformer net T is trained to synthesize anomalous but near-normal latent variables. Keeping the original training objective of a variational autoencoder, a generator G tries to distinguish between the normal latent variables encoded by E and the anomalous latent variables synthesized by T, and the encoder E is trained to discriminate whether the output of G is real. These new objectives we added not only give both G and E the ability to discriminate, but also become an additional regularization mechanism to prevent overfitting. Compared with other competitive methods, the proposed model achieves significant improvements in extensive experiments. The employed datasets and our model are available in a Github repository.",10.1016/j.knosys.2019.105187,https://www.semanticscholar.org/paper/7c4528f0ff263b6e7a6cee0e959f0e3615b3c65e
kbs,2025,MVGFormer: Multi-view perspective with graph-guided transformer for cryo-ET segmentation,-0.1154549270868301,"Cryo-Electron Tomography (cryo-ET) is a cutting-edge 3D imaging technology that enables detailed examination of biological macromolecular structures at near-atomic resolution. Recent deep learning applications on cryo-ET, such as cryo-ET segmentation, have drawn widespread interest for their potential to improve particle alignment, classification, and other tasks. However, current methods heavily rely on convolutional architectures, which prioritize local information while neglecting the global structural information inherent in cryo-ET data. Transformer-based models, known for their large receptive field, have become the de-facto design for 2D vision tasks due to their ability to effectively capture global information. This approach is also well-suited for 3D tasks, given the complex nature of 3D objects. Based on this, we extend 2D vision transformers into 3D and propose a novel transformer-based framework for cryo-ET segmentation, named MVGFormer. MVGFormer introduces a multi-view perspective fusion transformer encoder, which captures rich global structural information from multiple perspectives using unique positional embeddings. To enhance contextual awareness, we design a parallel context encoder that builds a visual graph to guide attention. We further introduce two complementary 3D decoders: multi-level feature fusion (MF) and parallel atrous convolutions (P3DA), which together capture multi-scale structural cues for precise segmentation. Furthermore, we introduce a view-masked self-supervised learning strategy to reinforce the effectiveness of the multi-view design and improve the model’s representation capability. To our knowledge, MVGFormer is the first transformer-based model for cryo-ET segmentation. We empirically evaluate MVGFormer on six cryo-ET datasets across three different tasks. Extensive experimental results demonstrate its superiority over state-of-the-art 3D segmentation methods.",10.1016/j.knosys.2025.114810,https://www.semanticscholar.org/paper/6d096954fe0b734261e5c10865050f22d0fa9bdd
kbs,2021,CS-Net: Instance-aware cellular segmentation with hierarchical dimension-decomposed convolutions and slice-attentive learning,-0.1137076690793037,"Abstract Cellular segmentation in kinds of microscopy images is a fundamental prerequisite in the workflow of many biomedical applications. However, accurate segmentation of plenty of cellular instances faces several challenges, including instance-size imbalance, clustered cellular instances, fuzzy boundaries, and cell types’ heterogeneity. Moreover, both 2D and 3D data should be processed with scalability. To address these challenges, we present a lightweight slice-wise CS-Net building on novel hierarchical dimension-decomposed (HDD) convolutions and a novel instance-aware loss for both 2D and 3D microscopy image segmentation. To capture inter-slice contexts in 3D data, we exploit both 2.5D input and 2.5D supervision, and introduce CS-Net (2.5D++) for 3D segmentation tasks. Specifically, we devise a slice-aware encoder to extract diverse and multiscale contexts from multi-slice input and a slice-attentive decoder to take advantage of slice-wise 2.5D supervision. To separate clustered instances, we augment the segmentation task with an edge prediction task, the output of which is used to separate touching instances. Extensive experiments on 3D multi-tissue electron microscopy (EM) data and 2D histology images demonstrate that our 2D and 2.5D methods achieve state-of-the-art performance with scalability to diverse data. The comparative results with top-performing lightweight models also indicate that the proposed model shows a better balance of segmentation performance and computational complexity.",10.1016/j.knosys.2021.107485,https://www.semanticscholar.org/paper/f0c914df9326e0e497a0dee200b261a8e2b44c02
kbs,2023,Exemplar-based Video Colorization with Long-term Spatiotemporal Dependency,-0.1121921613812446,"Exemplar-based video colorization is an essential technique for applications like old movie restoration. Although recent methods perform well in still scenes or scenes with regular movement, they always lack robustness in moving scenes due to their weak ability in modeling long-term dependency both spatially and temporally, leading to color fading, color discontinuity or other artifacts. To solve this problem, we propose an exemplar-based video colorization framework with long-term spatiotemporal dependency. To enhance the long-term spatial dependency, a parallelized CNN-Transformer block and a double head non-local operation are designed. The proposed CNN-Transformer block can better incorporate long-term spatial dependency with local texture and structural features, and the double head non-local operation further leverages the performance of augmented feature. While for long-term temporal dependency enhancement, we further introduce the novel linkage subnet. The linkage subnet propagate motion information across adjacent frame blocks and help to maintain temporal continuity. Experiments demonstrate that our model outperforms recent state-of-the-art methods both quantitatively and qualitatively. Also, our model can generate more colorful, realistic and stabilized results, especially for scenes where objects change greatly and irregularly.",10.48550/arXiv.2303.15081,https://www.semanticscholar.org/paper/25734714b3489609aa93e00f69052bd8fbe747bf
kbs,2020,An Improved LSHADE-RSP Algorithm with the Cauchy Perturbation: iLSHADE-RSP,-0.1062591522932052,"A new method for improving the optimization performance of a state-of-the-art differential evolution (DE) variant is proposed in this paper. The technique can increase the exploration by adopting the long-tailed property of the Cauchy distribution, which helps the algorithm to generate a trial vector with great diversity. Compared to the previous approaches, the proposed approach perturbs a target vector instead of a mutant vector based on a jumping rate. We applied the proposed approach to LSHADE-RSP ranked second place in the CEC 2018 competition on single objective real-valued optimization. A set of 30 different and difficult optimization problems is used to evaluate the optimization performance of the improved LSHADE-RSP. Our experimental results verify that the improved LSHADE-RSP significantly outperformed not only its predecessor LSHADE-RSP but also several cutting-edge DE variants in terms of convergence speed and solution accuracy.",10.1016/j.knosys.2020.106628,https://www.semanticscholar.org/paper/f1bd7e11cc980b343287653db12106946dcbbf6d
kbs,2019,Network reconstruction based on time series via memetic algorithm,-0.1027750372886657,"Abstract Reconstructing the interacting structure of complex networks from available data is fundamental to understanding and controlling its collective dynamics. From the perspective of computational complexity, most network reconstruction problems are non-convex, making them difficult to be efficiently solved. The majority of existing approaches extend this problem to the convex optimization problem, which leads to a final solution that is far from being completely and precisely consummated. To improve the accuracy of network reconstruction, particularly when existing algorithms cannot fully reconstruct networks, a memetic algorithm (MA) is first proposed to solve this non-convex problem directly, termed as MAST-Net. According to the problem characteristics, correction and local search operators are designed to accelerate the MA convergence speed. We apply MAST-Net to evolutionary game models, resistor networks, and communication networks taking place in synthetic and real networks and demonstrate that MAST-Net exhibits competitive performance against seven state-of-the-art methods in terms of effectiveness and efficiency.",10.1016/J.KNOSYS.2018.11.009,https://www.semanticscholar.org/paper/b85a0b46da26f20b2943b333351317af0046028e
kbs,2022,Deep semi-supervised learning with contrastive learning and partial label propagation for image data,-0.1015701219439506,"Deep semi-supervised learning is becoming an active research topic because it jointly utilizes labeled and unlabeled samples in training deep neural networks. Recent advances are mainly focused on inductive semi-supervised learning which generally extends supervised algorithms to include unlabeled data. In this paper, we propose CL_PLP, a new transductive deep semi-supervised learning algorithm based on contrastive self-supervised learning and partial label propagation. The proposed method consists of two modules, contrastive self-supervised learning module extracting features from labeled and unlabeled data and partial label propagation module generating confident pseudo-labels through label propagation. For contrastive learning, we propose an improved twins network model by adding multiple projector layers and the contrastive loss term. Meanwhile, we adopt strong and weak data augmentation to increase the diversity of the dataset and the robustness of the model. For the partial label propagation module, we interrupt the label propagation process according to the quality of pseudo-labels and improve the impact of high-quality pseudo-labels. The performance of our algorithm on three standard baseline datasets CIFAR-10, CIFAR-100 and miniImageNet is better than previous state-of-the-art transductive deep semi-supervised learning methods. By transferring our model to the medical COVID19-Xray dataset, it also achieves good performance. Finally, we propose a strategy to integrate our partial label propagation module with inductive semi-supervised learning method, and the results prove that it can further improve their performance and obtain additional high-quality pseudo-labels for the unlabeled data.",10.1016/j.knosys.2022.108602,https://www.semanticscholar.org/paper/cd390bd9825622dc936eabeccff5e68a97f536b5
kbs,2021,Free-form tumor synthesis in computed tomography images via richer generative adversarial network,-0.0992269814014434,"The insufficiency of annotated medical imaging scans for cancer makes it challenging to train and validate data-hungry deep learning models in precision oncology. We propose a new richer generative adversarial network for free-form 3D tumor/lesion synthesis in computed tomography (CT) images. The network is composed of a new richer convolutional feature enhanced dilated-gated generator (RicherDG) and a hybrid loss function. The RicherDG has dilated-gated convolution layers to enable tumor-painting and to enlarge perceptive fields; and it has a novel richer convolutional feature association branch to recover multi-scale convolutional features especially from uncertain boundaries between tumor and surrounding healthy tissues. The hybrid loss function, which consists of a diverse range of losses, is designed to aggregate complementary information to improve optimization. We perform a comprehensive evaluation of the synthesis results on a wide range of public CT image datasets covering the liver, kidney tumors, and lung nodules. The qualitative and quantitative evaluations and ablation study demonstrated improved synthesizing results over advanced tumor synthesis methods.",10.1016/j.knosys.2021.106753,https://www.semanticscholar.org/paper/a0859f6fd7920e0abc885be8016f471ef7b69f32
eswa,2020,Distributed mining of high utility time interval sequential patterns using mapreduce approach,-0.097843199968338,"Abstract High Utility Sequential Pattern mining (HUSP) algorithms aim to find all the high utility sequences from a sequence database. Due to the large explosion of data, recently few distributed algorithms have been designed for mining HUSPs based on the MapReduce framework. However, the existing HUSP algorithms such as USpan, HUS-Span and BigHUSP are able to predict only the order of items, they do not predict the time between the items, that is, they do not include the time intervals between the successive items. But in a real-world scenario, time interval patterns provide more valuable information than conventional high utility sequential patterns. Therefore, we propose a distributed high utility time interval sequential pattern mining (DHUTISP) algorithm using the MapReduce approach that is suitable for big data. DHUTISP creates a novel time interval utility linked list data structure (TIUL) to efficiently calculate the utility of the resulting patterns. Moreover, two utility upper bounds, namely, remaining utility upper bound (RUUB) and co-occurrence utility upper bound (CUUB) are proposed to prune the unpromising candidates. We conducted various experiments to prove the efficiency of the proposed algorithm over both the distributed and non-distributed approaches. The experimental results show the efficiency of DHUTISP over state-of-the-art algorithms, namely, BigHUSP, AHUS-P, PUSOM and UTMining_A.",10.1016/j.eswa.2019.112967,https://www.semanticscholar.org/paper/08a87706c80f79aa6b90205ad4f265ada9de6d75
kbs,2021,A discrete method for the initialization of semi-discrete optimal transport problem,-0.0977615863084793,"Abstract Semi-discrete optimal transport setting is a very important formulation in the computation of Wasserstein distance, as it is an approximation form of the continuous setting of optimal transport. However, initialization process of dual weight vector for the dual problem in this setting is required for the computation of the first and second order methods, since the Laguerre cells associated to the dual weight vector ought to have positive mass during the calculation. Although there are approaches to initialize the weight vector, systematic computing procedure has not been available. To resolve this problem, we discretize the domain of source distribution of this problem, approximate the Laguerre cells with respect to the weight vector, and finally employ the local perturbation method (Jocelyn, 2019) combined with boundary method to force all measures of the Laguerre cells great than zero. In addition, we study the corresponding theoretical results of the computation process and provide the algorithm, ensuring that the problem can indeed be efficiently computed.",10.1016/j.knosys.2020.106608,https://www.semanticscholar.org/paper/430e2d8c8f58e38de54ba3535c1ad6cc8b4cfb2f
