journal_short_name,year,topic,n_papers
eswa,2015,0,25
eswa,2015,1,9
eswa,2015,4,7
eswa,2015,2,5
eswa,2015,3,2
eswa,2015,5,2
eswa,2015,6,2
eswa,2015,7,2
eswa,2015,8,2
eswa,2016,0,26
eswa,2016,1,8
eswa,2016,3,7
eswa,2016,2,5
eswa,2016,4,5
eswa,2016,5,1
eswa,2017,0,39
eswa,2017,1,15
eswa,2017,2,11
eswa,2017,4,8
eswa,2017,3,4
eswa,2017,8,4
eswa,2017,5,1
eswa,2017,6,1
eswa,2017,7,1
eswa,2018,0,129
eswa,2018,2,53
eswa,2018,1,36
eswa,2018,3,25
eswa,2018,4,21
eswa,2018,5,12
eswa,2018,8,9
eswa,2018,6,4
eswa,2018,7,1
eswa,2019,0,274
eswa,2019,2,72
eswa,2019,1,71
eswa,2019,4,58
eswa,2019,3,47
eswa,2019,6,21
eswa,2019,5,14
eswa,2019,8,14
eswa,2019,7,4
eswa,2020,0,361
eswa,2020,2,140
eswa,2020,3,87
eswa,2020,1,83
eswa,2020,4,54
eswa,2020,5,17
eswa,2020,6,12
eswa,2020,7,10
eswa,2020,8,6
eswa,2021,0,298
eswa,2021,2,87
eswa,2021,1,66
eswa,2021,3,57
eswa,2021,4,44
eswa,2021,8,9
eswa,2021,5,8
eswa,2021,6,4
eswa,2021,7,3
eswa,2022,0,111
eswa,2022,1,21
eswa,2022,2,20
eswa,2022,4,16
eswa,2022,3,9
eswa,2022,7,4
eswa,2022,5,1
eswa,2022,6,1
eswa,2022,8,1
eswa,2023,0,35
eswa,2023,1,6
eswa,2023,7,5
eswa,2023,2,3
eswa,2023,4,3
eswa,2023,3,2
eswa,2024,0,24
eswa,2024,1,6
eswa,2024,2,3
eswa,2024,4,3
eswa,2024,3,2
eswa,2024,5,1
eswa,2025,0,71
eswa,2025,1,14
eswa,2025,3,8
eswa,2025,2,6
eswa,2025,7,3
eswa,2025,4,1
eswa,2025,6,1
kbs,2015,0,6
kbs,2015,1,6
kbs,2015,2,3
kbs,2015,3,3
kbs,2015,4,3
kbs,2015,5,2
kbs,2015,7,2
kbs,2015,8,1
kbs,2016,1,15
kbs,2016,3,6
kbs,2016,0,5
kbs,2016,4,5
kbs,2016,2,2
kbs,2016,5,2
kbs,2016,8,2
kbs,2016,7,1
kbs,2017,0,13
kbs,2017,1,10
kbs,2017,3,10
kbs,2017,2,5
kbs,2017,6,2
kbs,2017,5,1
kbs,2018,0,55
kbs,2018,3,33
kbs,2018,4,26
kbs,2018,1,18
kbs,2018,5,16
kbs,2018,2,9
kbs,2018,6,5
kbs,2018,7,2
kbs,2018,8,1
kbs,2019,0,132
kbs,2019,1,55
kbs,2019,3,51
kbs,2019,2,40
kbs,2019,4,22
kbs,2019,5,20
kbs,2019,6,10
kbs,2019,8,6
kbs,2019,7,3
kbs,2020,0,272
kbs,2020,1,100
kbs,2020,3,94
kbs,2020,2,64
kbs,2020,4,35
kbs,2020,5,32
kbs,2020,6,12
kbs,2020,8,6
kbs,2020,7,5
kbs,2021,0,150
kbs,2021,1,58
kbs,2021,3,48
kbs,2021,2,35
kbs,2021,4,11
kbs,2021,5,7
kbs,2021,7,7
kbs,2021,6,5
kbs,2021,8,2
kbs,2022,0,33
kbs,2022,1,14
kbs,2022,3,7
kbs,2022,7,7
kbs,2022,2,5
kbs,2022,4,2
kbs,2022,6,1
kbs,2022,8,1
kbs,2023,0,57
kbs,2023,1,18
kbs,2023,3,17
kbs,2023,2,7
kbs,2023,7,3
kbs,2023,6,1
kbs,2024,0,33
kbs,2024,1,14
kbs,2024,3,8
kbs,2024,2,5
kbs,2024,7,2
kbs,2024,5,1
kbs,2025,0,46
kbs,2025,1,12
kbs,2025,3,6
kbs,2025,7,3
kbs,2025,2,1
kbs,2025,8,1
